Date,Job Name,Job Type,Hours Worked,Pay
"Jul 8, 2023",Job Name 177,Job Type 2,2.5,$24.50
"Jul 9, 2023",Job Name 178,Job Type 10,2.5,$73.14
"Jul 10, 2023",Job Name 179,Job Type 2,2,$114.45
"Jul 11, 2023",Job Name 180,Job Type 1,1.5,$113.76
"Jul 12, 2023",Job Name 181,Job Type 2,7,$384.52
"Jul 13, 2023",Job Name 182,Job Type 2,2.5,$77.60
"Jul 14, 2023",Job Name 183,Job Type 6,4,$200.00
"Jul 15, 2023",Job Name 184,Job Type 4,3,$239.36
"Jul 16, 2023",Job Name 185,Job Type 5,3.5,$163.42
"Jul 17, 2023",Job Name 186,Job Type 2,3.5,$216.10
"Jul 18, 2023",Job Name 187,Job Type 7,5,$200.00
"Jul 19, 2023",Job Name 188,Job Type 10,4,$105.00
"Jul 20, 2023",Job Name 189,Job Type 2,5,$210.34
"Jul 21, 2023",Job Name 190,Job Type 3,3,$100.29
"Jul 22, 2023",Job Name 191,Job Type 2,3.5,$166.66
"Jul 24, 2023",Job Name 192,Job Type 2,6,$253.23
"Jul 25, 2023",Job Name 193,Job Type 2,8.5,$358.74
"Jul 26, 2023",Job Name 194,Job Type 5,2.5,$67.75
"Jul 27, 2023",Job Name 195,Job Type 1,1,$79.63
"Jul 31, 2023",Job Name 196,Job Type 7,4.5,$232.74
"Aug 7, 2023",Job Name 197,Job Type 2,5.5,$166.43
"Aug 8, 2023",Job Name 198,Job Type 10,6.5,$200.71
"Aug 9, 2023",Job Name 199,Job Type 8,3,$160.00
"Aug 10, 2023",Job Name 200,Job Type 2,4,$128.67
"Aug 11, 2023",Job Name 201,Job Type 2,8,$368.56
"Aug 12, 2023",Job Name 202,Job Type 6,5,$300.00
"Aug 12, 2023",Job Name 203,Job Type 4,6,421.25
"Aug 13, 2023",Job Name 204,Job Type 2,4.5,$136.83
"Aug 14, 2023",Job Name 205,Job Type 2,6,$246.05
"Aug 15, 2023",Job Name 206,Job Type 6,2,$125.00
"Aug 16, 2023",Job Name 207,Job Type 6,4,$250.00
"Aug 17, 2023",Job Name 208,Job Type 6,5,$312.50
"Aug 18, 2023",Job Name 209,Job Type 6,5,$312.50
"Aug 21, 2023",Job Name 210,Job Type 1,2,$84.59
"Aug 22, 2023",Job Name 211,Job Type 9,2.5,$40.00
"Aug 23, 2023",Job Name 212,Job Type 1,7.5,$633.06
"Aug 24, 2023",Job Name 213,Job Type 2,4,$258.15
"Aug 25, 2023",Job Name 214,Job Type 2,6.5,$419.50
"Aug 26, 2023",Job Name 215,Job Type 7,5,$250.00
